0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:34 +0800] "GET /dingcan/css/shopping_vehicle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:34 +0800] "GET /dingcan/images/bg_dot_long.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:34 +0800] "GET /dingcan/images/already_dele_bg.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/qiantaimethod!address HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/img/bg2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/css/img/bg2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/img/bg2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:36 +0800] "GET /dingcan/img/bg7.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:58 +0800] "GET /dingcan/qiantaimethod!cart HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:58 +0800] "GET /dingcan/images/bg_dot_long.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:16:58 +0800] "GET /dingcan/images/already_dele_bg.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/a5_02_popoo.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/new/a45.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/a8.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/a1_2.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/a2.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:31 +0800] "GET /dingcan/images4/logo.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:32 +0800] "GET /dingcan/images4/a9.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/login.jsp HTTP/1.1" 200 6301
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/skin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/login-wel.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/luck.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/login-top-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/login_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/login-content-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:17:35 +0800] "GET /dingcan/manage/images/login-buttom-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:18:15 +0800] "POST /dingcan/manage/houtaimethod!login HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:18:15 +0800] "GET /dingcan/manage/admin_top.jsp HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:18:15 +0800] "GET /dingcan/manage/right.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:18:15 +0800] "GET /dingcan/manage/left.jsp HTTP/1.1" 200 5545
0:0:0:0:0:0:0:1 - - [13/Jan/2021:10:18:15 +0800] "GET /dingcan/manage/js/prototype.lite.js HTTP/1.1" 304 -
